"dL []","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
0.056825,2.19,49.5037684876816,-59.2182928915393
0.056825,2.193,49.7338982198012,-58.4641988047301
0.056825,2.196,49.9651212715346,-57.7104246587962
0.056825,2.199,50.1974431290422,-56.9569657524832
0.056825,2.202,50.430869310089,-56.2038174128208
0.056825,2.205,50.6654053642514,-55.4509749950848
0.056825,2.208,50.9010568731248,-54.6984338827617
0.056825,2.211,51.1378294505333,-53.9461894875148
0.056825,2.214,51.3757287427423,-53.194237249154
0.056825,2.217,51.6147604286717,-52.4425726356067
0.056825,2.22,51.854930220112,-51.6911911428929
0.056825,2.223,52.0962438619419,-50.9400882951015
0.056825,2.226,52.3387071323482,-50.1892596443696
0.056825,2.229,52.582325843048,-49.4387007708642
0.056825,2.232,52.8271058395119,-48.6884072827668
0.056825,2.235,53.073053001191,-47.9383748162605
0.056825,2.238,53.320173241744,-47.1885990355191
0.056825,2.241,53.5684725092685,-46.4390756326996
0.056825,2.244,53.8179567865331,-45.6898003279368
0.056825,2.247,54.0686320912117,-44.9407688693412
0.056825,2.25,54.3205044761213,-44.1919770329984
0.056825,2.253,54.5735800294604,-43.4434206229721
0.056825,2.256,54.8278648750511,-42.6950954713099
0.056825,2.259,55.0833651725824,-41.946997438051
0.056825,2.262,55.3400871178566,-41.1991224112376
0.056825,2.265,55.598036943038,-40.451466306928
0.056825,2.268,55.8572209169033,-39.7040250692136
0.056825,2.271,56.1176453450955,-38.9567946702377
0.056825,2.274,56.3793165703794,-38.209771110218
0.056825,2.277,56.6422409729,-37.4629504174712
0.056825,2.28,56.9064249704435,-36.7163286484407
0.056825,2.283,57.1718750187002,-35.9699018877279
0.056825,2.286,57.438597611531,-35.2236662481253
0.056825,2.289,57.7065992812357,-34.4776178706534
0.056825,2.292,57.9758865988246,-33.7317529245998
0.056825,2.295,58.2464661742917,-32.9860676075626
0.056825,2.298,58.5183446568922,-32.2405581454955
0.056825,2.301,58.7915287354212,-31.4952207927565
0.056825,2.304,59.0660251384963,-30.7500518321599
0.056825,2.307,59.3418406348424,-30.0050475750315
0.056825,2.31,59.6189820335796,-29.2602043612663
0.056825,2.313,59.8974561845139,-28.5155185593903
0.056825,2.316,60.1772699784309,-27.770986566625
0.056825,2.319,60.4584303473922,-27.0266048089553
0.056825,2.322,60.7409442650353,-26.2823697412008
0.056825,2.325,61.024818746876,-25.5382778470903
0.056825,2.328,61.3100608506142,-24.7943256393402
0.056825,2.331,61.5966776764427,-24.0505096597357
0.056825,2.334,61.8846763673589,-23.3068264792159
0.056825,2.337,62.1740641094802,-22.5632726979624
0.056825,2.34,62.4648481323624,-21.8198449454915
0.056825,2.343,62.7570357093207,-21.0765398807496
0.056825,2.346,63.0506341577552,-20.3333541922132
0.056825,2.349,63.3456508394788,-19.5902845979919
0.056825,2.352,63.6420931610489,-18.8473278459353
0.056825,2.355,63.9399685741021,-18.1044807137439
0.056825,2.358,64.239284575693,-17.3617400090837
0.056825,2.361,64.5400487086359,-16.6191025697056
0.056825,2.364,64.8422685618502,-15.8765652635668
0.056825,2.367,65.1459517707096,-15.134124988959
0.056825,2.37,65.4511060173948,-14.391778674638
0.056825,2.373,65.7577390312494,-13.64952327996
0.056825,2.376,66.0658585891401,-12.90735579502
0.056825,2.379,66.3754725158208,-12.1652732407959
0.056825,2.382,66.6865886842993,-11.4232726692965
0.056825,2.385,66.9992150162095,-10.6813511637141
0.056825,2.388,67.3133594821858,-9.93950583858124
0.056825,2.391,67.6290301022427,-9.19773383993262
0.056825,2.394,67.946234946158,-8.45603234547119
0.056825,2.397,68.2649821338591,-7.71439856473954
0.056825,2.4,68.5852798358148,-6.97282973929538
0.056825,2.403,68.9071362734302,-6.23132314289242
0.056825,2.406,69.2305597194461,-5.48987608166642
0.056825,2.409,69.5555584983422,-4.74848589432553
0.056825,2.412,69.882140986745,-4.00714995234674
0.056825,2.415,70.2103156138398,-3.26586566017667
0.056825,2.418,70.5400908617865,-2.52463045543881
