"Freq [GHz]","dB(S(1,1)) []"
2.733,-2.86733927613163
2.736,-2.85196315247057
2.739,-2.83675344921897
2.742,-2.82170773311081
2.745,-2.80682361508279
2.748,-2.79209874933738
2.751,-2.77753083242869
2.754,-2.76311760237069
2.757,-2.74885683776703
2.76,-2.73474635696207
2.763,-2.72078401721237
2.766,-2.70696771387815
2.769,-2.69329537963422
2.772,-2.67976498369981
2.775,-2.66637453108684
2.778,-2.65312206186603
2.781,-2.64000565045057
2.784,-2.6270234048967
2.787,-2.61417346622082
2.79,-2.60145400773275
2.793,-2.58886323438463
2.796,-2.57639938213509
2.799,-2.56406071732832
2.802,-2.55184553608753
2.805,-2.53975216372269
2.808,-2.52777895415182
2.811,-2.51592428933577
2.814,-2.50418657872607
2.817,-2.49256425872537
2.82,-2.4810557921604
2.823,-2.46965966776691
2.826,-2.45837439968636
2.829,-2.44719852697417
2.832,-2.43613061311903
2.835,-2.42516924557317
2.838,-2.41431303529321
2.841,-2.40356061629141
2.844,-2.39291064519692
2.847,-2.382361800827
2.85,-2.3719127837677
2.853,-2.36156231596398
2.856,-2.35130914031896
2.859,-2.34115202030201
2.862,-2.33108973956559
2.865,-2.3211211015705
2.868,-2.31124492921942
2.871,-2.30146006449854
2.874,-2.29176536812697
2.877,-2.28215971921391
2.88,-2.27264201492326
2.883,-2.26321117014551
2.886,-2.25386611717686
2.889,-2.24460580540516
2.892,-2.23542920100277
2.895,-2.22633528662595
2.898,-2.21732306112076
2.901,-2.20839153923533
2.904,-2.19953975133817
2.907,-2.1907667431426
2.91,-2.18207157543706
2.913,-2.17345332382107
2.916,-2.16491107844689
2.919,-2.1564439437666
2.922,-2.14805103828455
2.925,-2.13973149431497
2.928,-2.13148445774478
2.931,-2.12330908780127
2.934,-2.11520455682469
2.937,-2.10717005004563
2.94,-2.09920476536692
2.943,-2.09130791315024
2.946,-2.08347871600694
2.949,-2.07571640859337
2.952,-2.06802023741033
2.955,-2.06038946060669
2.958,-2.052823347787
2.961,-2.04532117982312
2.964,-2.03788224866959
2.967,-2.03050585718287
2.97,-2.02319131894416
2.973,-2.01593795808586
2.976,-2.00874510912156
2.979,-2.00161211677942
2.982,-1.99453833583886
2.985,-1.98752313097067
2.988,-1.98056587658012
2.991,-1.97366595665336
2.994,-1.96682276460682
2.997,-1.96003570313953
3,-1.95330418408845
