"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
2.517,121.799882604735,86.9296351758809
2.52,122.448141202365,87.7749832103452
2.523,123.100132089984,88.6202692439621
2.526,123.755878820655,89.4654865243433
2.529,124.415405104096,90.3106281215726
2.532,125.078734807562,91.1556869257327
2.535,125.74589195673,92.0006556443892
2.538,126.41690073658,92.8455268000382
2.541,127.091785492275,93.6902927275089
2.544,127.770570730035,94.5349455713283
2.547,128.453281118013,95.3794772830411
2.55,129.139941487165,96.2238796184875
2.553,129.830576832115,97.0681441350377
2.556,130.525212312017,97.9122621887815
2.559,131.223873251414,98.7562249316729
2.562,131.92658514109,99.6000233086289
2.565,132.633373638919,100.443648054583
2.568,133.344264570705,101.287089691488
2.571,134.059283931021,102.130338525276
2.574,134.778457884038,102.973384642765
2.577,135.501812764344,103.816217908517
2.58,136.229375077767,104.658827961649
2.583,136.961171502174,105.501204212589
2.586,137.697228888276,106.343335839777
2.589,138.437574260416,107.185211786326
2.592,139.18223481735,108.026820756612
2.595,139.931237933019,108.868151212824
2.598,140.684611157305,109.70919137145
2.601,141.442382216788,110.549929199711
2.604,142.204579015475,111.390352411935
2.607,142.97122963553,112.230448465874
2.61,143.742362337984,113.070204558963
2.613,144.518005563434,113.90960762452
2.616,145.298187932727,114.74864432788
2.619,146.082938247624,115.587301062472
2.622,146.872285491462,116.425563945833
2.625,147.666258829779,117.263418815555
2.628,148.464887610942,118.10085122517
2.631,149.26820136674,118.937846439967
2.634,150.076229812968,119.774389432746
2.637,150.889002849989,120.6104648795
2.64,151.706550563273,121.446057155028
2.643,152.528903223914,122.281150328484
2.646,153.356091289125,123.115728158844
2.649,154.188145402713,123.949774090314
2.652,155.025096395521,124.783271247654
2.655,155.866975285852,125.61620243143
2.658,156.71381327986,126.448550113198
2.661,157.565641771917,127.280296430599
2.664,158.422492344949,128.111423182387
2.667,159.284396770739,128.941911823368
2.67,160.151387010205,129.771743459271
2.673,161.023495213636,130.600898841524
2.676,161.900753720901,131.42935836196
2.679,162.783195061619,132.257102047428
2.682,163.67085195529,133.084109554326
2.685,164.563757311392,133.910360163048
2.688,165.461944229436,134.735832772337
2.691,166.365445998976,135.560505893556
2.694,167.274296099577,136.384357644863
2.697,168.188528200746,137.207365745302
2.7,169.108176161805,138.029507508793
2.703,170.03327403172,138.850759838032
2.706,170.963856048883,139.671099218298
2.709,171.899956640837,140.490501711155
2.712,172.841610423953,141.308942948067
2.715,173.788852203044,142.126398123905
2.718,174.741716970925,142.942841990357
2.721,175.700239907914,143.758248849232
2.724,176.66445638127,144.572592545668
2.727,177.634401944565,145.385846461229
2.73,178.610112336992,146.197983506893
2.733,179.591623482598,147.008976115943
2.736,180.578971489459,147.818796236738
