"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,79,1.91014604634947
2.4,0,80,1.94961909807082
2.4,0,81,1.98531896559041
2.4,0,82,2.01725134418469
2.4,0,83,2.04542121319381
2.4,0,84,2.06983287563998
2.4,0,85,2.09048999299938
2.4,0,86,2.10739561531609
2.4,0,87,2.12055220681692
2.4,0,88,2.12996166715817
2.4,0,89,2.13562534840842
2.4,0,90,2.1375440678453
2.4,0,91,2.13571811661933
2.4,0,92,2.13014726431288
2.4,0,93,2.12083075939813
2.4,0,94,2.10776732557345
2.4,0,95,2.09095515393331
2.4,0,96,2.07039189090202
2.4,0,97,2.04607462183647
2.4,0,98,2.0179998501771
2.4,0,99,1.98616347199929
2.4,0,100,1.95056074578975
2.4,0,101,1.91118625724264
2.4,0,102,1.86803387883978
2.4,0,103,1.82109672394608
2.4,0,104,1.77036709511679
2.4,0,105,1.71583642627586
2.4,0,106,1.6574952183848
2.4,0,107,1.5953329681785
2.4,0,108,1.52933808949812
2.4,0,109,1.45949782670112
2.4,0,110,1.38579815957356
2.4,0,111,1.30822369911068
2.4,0,112,1.22675757346642
2.4,0,113,1.1413813033009
2.4,0,114,1.05207466567633
2.4,0,115,0.958815545564409
2.4,0,116,0.861579773931425
2.4,0,117,0.760340951259746
2.4,0,118,0.655070255243504
2.4,0,119,0.545736231261346
2.4,0,120,0.432304564076622
2.4,0,121,0.314737829043687
2.4,0,122,0.192995220903879
2.4,0,123,0.0670322580331137
2.4,0,124,-0.0631995402494609
2.4,0,125,-0.197753005991876
2.4,0,126,-0.336685707550369
2.4,0,127,-0.480060370554687
2.4,0,128,-0.627945338731657
2.4,0,129,-0.78041507893123
2.4,0,130,-0.937550735290549
2.4,0,131,-1.09944073816057
2.4,0,132,-1.26618147422312
2.4,0,133,-1.43787802516715
2.4,0,134,-1.61464498339682
2.4,0,135,-1.79660735454485
2.4,0,136,-1.9839015580999
2.4,0,137,-2.17667653927777
2.4,0,138,-2.37509500743089
2.4,0,139,-2.57933481887535
2.4,0,140,-2.78959052511076
2.4,0,141,-3.00607511113431
2.4,0,142,-3.22902195305002
2.4,0,143,-3.45868702963627
2.4,0,144,-3.69535142919265
2.4,0,145,-3.93932420114567
2.4,0,146,-4.19094561194071
2.4,0,147,-4.45059087719263
2.4,0,148,-4.71867445757009
2.4,0,149,-4.99565502532168
2.4,0,150,-5.28204123287173
2.4,0,151,-5.57839844606779
2.4,0,152,-5.88535664454119
2.4,0,153,-6.20361974309343
2.4,0,154,-6.53397665496619
2.4,0,155,-6.87731450574369
2.4,0,156,-7.23463452314885
2.4,0,157,-7.60707128405771
2.4,0,158,-7.99591621144813
2.4,0,159,-8.4026465038095
2.4,0,160,-8.82896108209527
2.4,0,161,-9.27682570647198
2.4,0,162,-9.7485302267316
2.4,0,163,-10.2467621115779
2.4,0,164,-10.7747021540378
2.4,0,165,-11.3361509031541
2.4,0,166,-11.9356984829183
2.4,0,167,-12.5789569962053
2.4,0,168,-13.2728854137782
2.4,0,169,-14.0262549621755
2.4,0,170,-14.8503348735893
2.4,0,171,-15.7599368973263
2.4,0,172,-16.7750703154692
2.4,0,173,-17.9236927917086
2.4,0,174,-19.2465618481696
2.4,0,175,-20.8064625317422
2.4,0,176,-22.7076043953204
2.4,0,177,-25.1425019541906
2.4,0,178,-28.531977627065
2.4,0,179,-34.1318473717534
2.4,0,180,-49.2349879124909
