"Freq [GHz]","St(1,1) []"
2.367,0.365352969340285 + 0.197403640726501i
2.37,0.369232177211373 + 0.199221474476301i
2.373,0.373100007803405 + 0.200982061314936i
2.376,0.376955724131821 + 0.202686288628839i
2.379,0.380798619505293 + 0.20433504398465i
2.382,0.384628016898943 + 0.20592921436305i
2.385,0.388443268320317 + 0.207469685430552i
2.388,0.392243754169659 + 0.208957340848405i
2.391,0.396028882595904 + 0.210393061617697i
2.394,0.399798088849779 + 0.211777725459762i
2.397,0.40355083463526 + 0.213112206230929i
2.4,0.407286607460608 + 0.214397373370676i
2.403,0.411004919990085 + 0.215634091382199i
2.406,0.414705309397419 + 0.216823219344431i
2.409,0.418387336721975 + 0.217965610454524i
2.412,0.422050586228548 + 0.21906211159979i
2.415,0.425694664771619 + 0.220113562958132i
2.418,0.429319201164837 + 0.221120797625966i
2.421,0.43292384555646 + 0.222084641272662i
2.424,0.436508268811386 + 0.223005911820524i
2.427,0.440072161900388 + 0.223885419149355i
2.43,0.44361523529709 + 0.22472396482464i
2.433,0.447137218383172 + 0.225522341848438i
2.436,0.450637858862254 + 0.226281334432023i
2.439,0.454116922182853 + 0.227001717789398i
2.442,0.45757419097075 + 0.227684257950779i
2.445,0.4610094644711 + 0.228329711595175i
2.448,0.464422558000544 + 0.228938825901225i
2.451,0.467813302409543 + 0.229512338415438i
2.454,0.471181543555151 + 0.230050976937055i
2.457,0.474527141784386 + 0.230555459418716i
2.46,0.477849971428317 + 0.231026493882169i
2.463,0.481149920306996 + 0.231464778348292i
2.466,0.484426889245285 + 0.231871000780678i
2.469,0.487680791599655 + 0.232245839042092i
2.472,0.49091155279596 + 0.232589960863126i
2.475,0.494119109878209 + 0.232904023822377i
2.478,0.497303411068315 + 0.233188675337528i
2.481,0.500464415336783 + 0.233444552666706i
2.484,0.503602091984295 + 0.233672282919528i
2.487,0.506716420234114 + 0.233872483077266i
2.49,0.509807388835232 + 0.234045760021582i
2.493,0.512874995676168 + 0.234192710571294i
2.496,0.5159192474093 + 0.234313921526677i
2.499,0.518940159085618 + 0.234409969720803i
2.502,0.521937753799773 + 0.234481422077459i
2.505,0.524912062345275 + 0.234528835675178i
2.508,0.527863122879697 + 0.234552757816973i
2.511,0.530790980599736 + 0.23455372610535i
2.514,0.533695687425971 + 0.234532268522209i
2.517,0.536577301697142 + 0.234488903513252i
2.52,0.5394358878738 + 0.234424140076555i
2.523,0.54227151625114 + 0.234338477854933i
2.526,0.545084262680831 + 0.234232407231805i
2.529,0.547874208301691 + 0.234106409430222i
2.532,0.550641439279004 + 0.233960956614771i
2.535,0.553386046552287 + 0.233796511996074i
2.538,0.556108125591352 + 0.233613529937621i
2.541,0.558807776160442 + 0.233412456064666i
2.544,0.561485102090286 + 0.233193727374964i
2.547,0.564140211057858 + 0.232957772351106i
2.55,0.566773214373676 + 0.232705011074252i
2.553,0.569384226776443 + 0.232435855339036i
2.556,0.571973366234851 + 0.232150708769475i
2.559,0.574540753756364 + 0.231849966935682i
2.562,0.577086513202796 + 0.231534017471212i
2.565,0.579610771112507 + 0.231203240190897i
2.568,0.582113656529037 + 0.230858007208993i
2.571,0.584595300836006 + 0.230498683057512i
2.574,0.587055837598098 + 0.230125624804604i
2.577,0.589495402407973 + 0.229739182172852i
2.58,0.59191413273892 + 0.22933969765738i
2.583,0.594312167803099 + 0.228927506643645i
2.586,0.596689648415207 + 0.228502937524824i
2.589,0.599046716861401 + 0.228066311818689i
2.592,0.601383516773327 + 0.227617944283898i
2.595,0.603700193007105 + 0.227158143035591i
2.598,0.605996891527105 + 0.22668720966025i
2.601,0.608273759294381 + 0.226205439329713i
2.604,0.610530944159609 + 0.225713120914314i
2.607,0.612768594760392 + 0.225210537095059i
2.61,0.614986860422792 + 0.224697964474796i
2.613,0.617185891066953 + 0.224175673688332i
2.616,0.619365837116681 + 0.223643929511438i
2.619,0.621526849412862 + 0.22310299096871i
2.622,0.623669079130578 + 0.222553111440246i
2.625,0.625792677699811 + 0.221994538767097i
2.628,0.627897796729601 + 0.221427515355479i
2.631,0.629984587935564 + 0.220852278279692i
2.634,0.63205320307063 + 0.220269059383752i
2.637,0.634103793858915 + 0.219678085381684i
2.64,0.636136511932598 + 0.219079577956492i
2.643,0.638151508771715 + 0.218473753857748i
2.646,0.640148935646766 + 0.217860824997834i
2.649,0.642128943564023 + 0.217240998546785i
2.652,0.644091683213465 + 0.216614477025752i
2.655,0.646037304919222 + 0.215981458399061i
2.658,0.647965958592462 + 0.215342136164878i
2.661,0.649877793686616 + 0.214696699444467i
2.664,0.651772959154863 + 0.214045333070036i
2.667,0.65365160340979 + 0.213388217671198i
2.67,0.655513874285151 + 0.212725529760004i
2.673,0.657359918999642 + 0.212057441814601i
2.676,0.65918988412262 + 0.211384122361482i
2.679,0.661003915541694 + 0.210705736056352i
2.682,0.66280215843211 + 0.210022443763614i
2.685,0.664584757227877 + 0.209334402634486i
2.688,0.666351855594551 + 0.208641766183745i
2.691,0.668103596403617 + 0.207944684365129i
2.694,0.669840121708423 + 0.207243303645389i
2.697,0.67156157272158 + 0.206537767077013i
2.7,0.673268089793788 + 0.20582821436963i
2.703,0.674959812394029 + 0.205114781960112i
2.706,0.676636879091067 + 0.204397603081377i
2.709,0.678299427536209 + 0.203676807829922i
2.712,0.679947594447268 + 0.202952523232085i
2.715,0.681581515593695 + 0.202224873309062i
